Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,40.340000,45.000000,38.049999,43.990002,43.990002,1347100
2021-01-05,45.099998,53.630001,44.200001,48.369999,48.369999,3590700
2021-01-06,47.049999,57.000000,45.139999,52.139999,52.139999,2903200
2021-01-07,55.990002,61.259998,55.040001,55.389999,55.389999,1518900
2021-01-08,58.000000,58.000000,50.279999,52.730000,52.730000,1407700
2021-01-11,51.000000,56.000000,50.529999,54.709999,54.709999,1338200
2021-01-12,56.110001,63.500000,55.529999,62.480000,62.480000,1831000
2021-01-13,60.610001,69.480003,57.700001,57.880001,57.880001,1785600
2021-01-14,60.919998,67.430000,59.490002,60.639999,60.639999,1288700
2021-01-15,60.639999,62.599998,55.599998,56.000000,56.000000,1409500
2021-01-19,58.130001,61.630001,53.000000,54.279999,54.279999,1872400
2021-01-20,54.509998,56.220001,53.250000,55.220001,55.220001,935500
2021-01-21,55.049999,65.290001,55.049999,63.770000,63.770000,1702400
2021-01-22,62.400002,64.879997,58.529999,64.470001,64.470001,1241600
2021-01-25,65.000000,72.669998,64.010002,67.360001,67.360001,1781000
2021-01-26,67.709999,68.690002,63.299999,64.449997,64.449997,1506600
2021-01-27,60.070000,70.800003,58.000000,64.699997,64.699997,1398400
2021-01-28,64.540001,67.413002,63.520000,65.150002,65.150002,617800
2021-01-29,64.559998,67.400002,60.119999,62.189999,62.189999,721700
2021-02-01,63.000000,70.849998,61.900002,70.250000,70.250000,813000
2021-02-02,71.040001,80.000000,71.040001,75.470001,75.470001,1061300
2021-02-03,76.930000,81.910004,76.510002,79.750000,79.750000,854600
2021-02-04,80.550003,81.089996,74.190002,75.750000,75.750000,718600
2021-02-05,76.139999,79.779999,74.010002,75.239998,75.239998,541400
2021-02-08,77.339996,78.339996,74.099998,76.000000,76.000000,712600
2021-02-09,75.919998,82.750000,75.516998,80.250000,80.250000,902200
2021-02-10,80.910004,91.389999,78.709999,91.040001,91.040001,1080800
2021-02-11,93.500000,105.580002,92.550003,95.129997,95.129997,1432000
2021-02-12,93.000000,102.209999,92.620003,102.180000,102.180000,645500
2021-02-16,104.769997,105.000000,90.269997,92.279999,92.279999,1050400
